frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,78.693,115.588,160.917,32.173,169.178,20.144,0.008170,0.048314,-0.070995,0.996272,0
1,0.033,79.937,117.085,160.589,32.524,169.236,20.090,0.008438,0.049630,-0.072009,0.996133,0
2,0.067,79.047,116.014,161.699,31.337,168.979,20.327,0.008353,0.050357,-0.072454,0.996065,0
3,0.100,79.464,116.516,161.554,31.492,169.118,20.198,0.008710,0.052493,-0.073652,0.995863,0
4,0.133,82.739,120.455,162.078,30.933,169.779,19.590,0.008687,0.052765,-0.071999,0.995970,0
5,0.167,79.430,116.474,163.427,29.490,169.330,20.003,0.008449,0.050786,-0.071446,0.996115,0
6,0.200,80.292,117.511,163.796,29.096,169.444,19.898,0.008202,0.050531,-0.069456,0.996271,0
7,0.233,82.344,119.979,163.890,28.996,169.191,20.132,0.008317,0.050184,-0.069327,0.996296,0
8,0.267,82.575,120.258,163.724,29.173,169.655,19.704,0.008942,0.053075,-0.072756,0.995896,0
9,0.300,71.863,107.375,160.784,32.315,169.844,19.530,0.008759,0.049386,-0.074493,0.995959,0
10,0.333,73.393,109.214,160.172,32.968,169.315,20.017,0.009119,0.052237,-0.076241,0.995678,0
11,0.367,69.776,104.865,160.896,32.195,169.222,20.103,0.008988,0.051193,-0.073330,0.995952,0
12,0.400,70.121,105.279,159.442,33.749,169.371,19.965,0.009547,0.053808,-0.077717,0.995477,0
13,0.433,72.068,107.622,160.141,33.002,169.325,20.008,0.009396,0.052997,-0.076825,0.995591,0
14,0.467,72.158,107.730,159.887,33.273,169.241,20.085,0.009541,0.054598,-0.077233,0.995471,0
15,0.500,69.680,104.750,158.357,34.909,168.935,20.368,0.009259,0.052436,-0.077375,0.995579,0
16,0.533,72.497,108.137,158.721,34.519,169.576,19.777,0.009557,0.054212,-0.078788,0.995370,0
17,0.567,72.769,108.464,158.485,34.771,169.561,19.790,0.009313,0.051711,-0.078132,0.995557,0
18,0.600,74.026,109.976,158.259,35.013,169.108,20.208,0.009351,0.052445,-0.076657,0.995633,0
19,0.633,71.181,106.555,158.421,34.840,169.334,20.000,0.010126,0.055006,-0.082183,0.995047,0
20,0.667,72.184,107.760,158.281,34.989,169.239,20.087,0.009427,0.051715,-0.078194,0.995551,0
21,0.700,70.910,106.229,157.897,35.400,169.299,20.032,0.009897,0.054785,-0.080893,0.995167,0
22,0.733,69.560,104.604,158.224,35.051,169.248,20.079,0.009710,0.053083,-0.079249,0.995393,0
23,0.767,68.998,103.929,158.591,34.658,169.720,19.644,0.009617,0.052141,-0.078193,0.995527,0
24,0.800,69.265,104.250,158.635,34.611,169.223,20.102,0.009817,0.052849,-0.079602,0.995376,0
25,0.833,69.561,104.606,157.815,35.487,169.285,20.045,0.010126,0.053753,-0.079837,0.995306,0
26,0.867,69.965,105.092,157.281,36.058,169.603,19.752,0.010467,0.055351,-0.080912,0.995128,0
27,0.900,71.979,107.515,158.640,34.606,169.610,19.745,0.010138,0.054037,-0.079343,0.995330,0
28,0.933,71.347,106.754,157.853,35.447,169.553,19.798,0.010174,0.053751,-0.078265,0.995431,0
29,0.967,71.366,106.777,158.025,35.263,169.975,19.408,0.010139,0.052203,-0.077752,0.995553,0
30,1.000,72.491,108.130,159.952,33.204,170.387,19.029,0.009268,0.049657,-0.070955,0.996200,0
31,1.033,72.651,108.322,159.872,33.289,170.804,18.644,0.008950,0.046776,-0.069440,0.996449,0
32,1.067,71.632,107.097,159.056,34.161,170.436,18.984,0.008906,0.046367,-0.069715,0.996449,0
33,1.100,69.145,104.106,159.217,33.990,170.087,19.305,0.009649,0.049777,-0.072839,0.996054,0
34,1.133,68.215,102.987,158.760,34.478,169.751,19.616,0.009338,0.047680,-0.071357,0.996267,0
35,1.167,68.109,102.860,157.838,35.463,169.720,19.644,0.009964,0.050587,-0.072800,0.996013,0
36,1.200,69.706,104.780,159.200,34.008,170.308,19.102,0.011407,0.055622,-0.081093,0.995088,0
37,1.233,69.682,104.751,158.175,35.103,169.610,19.745,0.011197,0.055681,-0.079734,0.995197,0
38,1.267,73.121,108.888,158.930,34.296,169.965,19.418,0.010293,0.051344,-0.076463,0.995696,0
39,1.300,70.622,105.882,159.659,33.517,169.842,19.532,0.009824,0.047902,-0.073291,0.996111,0
40,1.333,72.332,107.938,159.662,33.513,169.593,19.761,0.009902,0.048151,-0.073317,0.996096,0
41,1.367,72.229,107.814,159.427,33.765,170.097,19.296,0.009463,0.044839,-0.072179,0.996338,0
42,1.400,73.903,109.828,159.918,33.240,169.755,19.611,0.009665,0.045307,-0.070298,0.996450,0
43,1.433,71.781,107.276,158.244,35.029,170.349,19.064,0.009866,0.045315,-0.072650,0.996279,0
44,1.467,71.604,107.064,157.840,35.461,170.289,19.120,0.009611,0.044125,-0.070532,0.996487,0
45,1.500,71.404,106.823,158.210,35.065,170.324,19.087,0.009313,0.041987,-0.068102,0.996751,0
46,1.533,72.054,107.605,156.831,36.539,170.250,19.155,0.009723,0.045312,-0.069926,0.996475,0
47,1.567,71.519,106.960,157.814,35.489,169.742,19.623,0.009144,0.040577,-0.067664,0.996841,0
48,1.600,70.552,105.797,157.536,35.786,169.849,19.525,0.010273,0.045945,-0.071727,0.996313,0
49,1.633,75.974,112.318,158.272,34.999,170.561,18.868,0.009542,0.043096,-0.067044,0.996773,0
50,1.667,77.268,113.875,158.784,34.452,170.266,19.140,0.009559,0.044891,-0.067140,0.996687,0
51,1.700,77.207,113.801,160.105,33.041,170.532,18.895,0.009783,0.046849,-0.066056,0.996667,0
52,1.733,71.746,107.234,158.905,34.323,169.831,19.541,0.010131,0.045315,-0.069788,0.996481,0
53,1.767,70.415,105.634,158.220,35.055,169.780,19.588,0.010976,0.047584,-0.073149,0.996125,0
54,1.800,69.803,104.897,158.127,35.154,169.803,19.568,0.010806,0.046391,-0.072523,0.996229,0
55,1.833,71.031,106.374,156.666,36.716,169.928,19.452,0.011471,0.049364,-0.075322,0.995871,0
56,1.867,72.004,107.544,156.791,36.582,169.577,19.776,0.010703,0.047226,-0.072109,0.996221,0
57,1.900,76.267,112.672,157.725,35.584,170.187,19.213,0.011103,0.048506,-0.072995,0.996090,0
58,1.933,75.970,112.314,156.845,36.524,170.094,19.299,0.011220,0.048050,-0.073376,0.996083,0
59,1.967,74.125,110.095,155.464,38.000,169.724,19.640,0.011084,0.048614,-0.072434,0.996126,0
60,2.000,80.197,117.397,156.487,36.906,170.128,19.267,0.011343,0.051074,-0.073846,0.995896,0
61,2.033,76.580,113.048,156.440,36.957,170.331,19.080,0.011292,0.050074,-0.074595,0.995892,0
62,2.067,77.410,114.046,156.385,37.015,169.992,19.393,0.011107,0.050284,-0.072903,0.996009,0
63,2.100,76.372,112.797,156.360,37.042,170.543,18.885,0.011783,0.050884,-0.075798,0.995754,0
64,2.133,72.857,108.570,155.552,37.905,170.055,19.335,0.011219,0.047575,-0.073638,0.996086,0
65,2.167,73.490,109.331,155.992,37.435,170.005,19.381,0.011186,0.047340,-0.072889,0.996153,0
66,2.200,74.132,110.103,155.737,37.708,170.133,19.263,0.011305,0.047528,-0.074797,0.996001,0
67,2.233,75.046,111.203,155.808,37.632,169.841,19.532,0.011939,0.051056,-0.076880,0.995661,0
68,2.267,76.270,112.675,155.219,38.262,169.811,19.559,0.011435,0.049005,-0.074185,0.995974,0
69,2.300,74.267,110.265,155.012,38.483,169.593,19.761,0.011262,0.049546,-0.073535,0.995997,0
70,2.333,75.936,112.273,155.993,37.434,169.434,19.908,0.010620,0.045649,-0.069613,0.996473,0
71,2.367,76.532,112.989,155.399,38.070,169.332,20.001,0.010782,0.046907,-0.071882,0.996251,0
72,2.400,76.253,112.654,155.828,37.611,169.255,20.072,0.011463,0.049726,-0.073168,0.996013,0
73,2.433,74.585,110.648,154.967,38.530,169.953,19.429,0.011168,0.049757,-0.072351,0.996075,0
74,2.467,75.835,112.151,155.702,37.745,169.860,19.515,0.011407,0.050375,-0.074246,0.995902,0
