frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,55.859,88.128,165.949,26.796,157.176,31.209,0.999843,-0.003251,0.017397,0.000049,0
1,0.033,56.146,88.473,167.328,25.323,157.487,30.923,0.999831,-0.002701,0.018200,0.000051,0
2,0.067,56.653,89.083,167.084,25.583,157.535,30.879,0.999882,0.003772,0.014911,-0.000081,0
3,0.100,56.354,88.722,166.911,25.768,157.433,30.973,0.999907,0.002221,0.013462,-0.000045,0
4,0.133,56.535,88.941,166.539,26.165,157.392,31.011,0.999874,0.000749,0.015826,-0.000024,0
5,0.167,56.181,88.514,167.130,25.534,157.782,30.651,0.999848,0.001472,0.017344,-0.000036,0
6,0.200,56.301,88.659,167.392,25.253,157.629,30.792,0.999887,0.002356,0.014840,-0.000050,0
7,0.233,56.316,88.677,167.845,24.769,157.643,30.779,0.999882,0.004546,0.014693,-0.000096,0
8,0.267,56.772,89.225,167.394,25.251,157.754,30.677,0.999866,0.003991,0.015862,-0.000092,0
9,0.300,55.955,88.243,166.986,25.687,157.525,30.888,0.999896,0.003862,0.013883,-0.000081,0
10,0.333,56.320,88.682,167.043,25.627,157.486,30.924,0.999903,0.004435,0.013219,-0.000078,0
11,0.367,56.459,88.849,167.051,25.618,157.371,31.029,0.999892,0.002198,0.014551,-0.000048,0
12,0.400,56.019,88.320,167.121,25.543,157.372,31.029,0.999917,0.003162,0.012478,-0.000057,0
13,0.433,55.700,87.936,167.052,25.617,157.528,30.885,0.999877,0.001532,0.015584,-0.000033,0
14,0.467,56.597,89.015,166.565,26.137,157.351,31.048,0.999882,0.000158,0.015365,-0.000009,0
15,0.500,56.275,88.628,166.745,25.945,157.610,30.810,0.999837,-0.001526,0.017994,0.000026,0
16,0.533,56.239,88.584,167.647,24.981,157.773,30.659,0.999852,0.000204,0.017192,-0.000003,0
17,0.567,56.397,88.775,166.870,25.812,157.679,30.746,0.999826,-0.000937,0.018625,0.000018,0
18,0.600,56.356,88.725,166.973,25.702,157.419,30.985,0.999801,-0.001744,0.019884,0.000030,0
19,0.633,55.983,88.276,166.806,25.880,157.440,30.967,0.999857,-0.001127,0.016881,0.000020,0
20,0.667,56.043,88.349,167.083,25.584,157.340,31.059,0.999894,0.001632,0.014463,-0.000028,0
21,0.700,56.026,88.328,167.262,25.393,157.391,31.012,0.999916,0.002947,0.012661,-0.000041,0
22,0.733,55.691,87.926,167.853,24.761,157.616,30.804,0.999898,0.003905,0.013742,-0.000062,0
23,0.767,55.702,87.939,167.154,25.508,157.349,31.050,0.999924,0.002148,0.012148,-0.000032,0
24,0.800,56.101,88.419,166.755,25.934,157.407,30.997,0.999865,-0.000465,0.016446,0.000004,0
25,0.833,55.831,88.094,166.481,26.227,157.496,30.915,0.999875,0.000069,0.015790,-0.000005,0
26,0.867,56.321,88.684,167.213,25.445,157.584,30.833,0.999848,-0.000998,0.017378,0.000017,0
27,0.900,56.465,88.857,167.551,25.084,157.431,30.975,0.999870,-0.000653,0.016103,0.000011,0
28,0.933,55.930,88.213,166.804,25.882,157.721,30.707,0.999839,-0.000691,0.017945,0.000013,0
29,0.967,56.031,88.334,166.772,25.916,157.585,30.833,0.999834,-0.001989,0.018094,0.000036,0
30,1.000,56.141,88.466,167.641,24.987,157.897,30.545,0.999828,-0.001554,0.018499,0.000037,0
31,1.033,56.982,89.478,167.841,24.774,157.799,30.635,0.999861,0.000631,0.016666,-0.000014,0
32,1.067,56.497,88.894,168.123,24.473,157.713,30.714,0.999863,0.000317,0.016570,-0.000005,0
33,1.100,56.708,89.148,167.536,25.100,157.622,30.798,0.999892,0.003112,0.014349,-0.000061,0
