participant,occluded_frames,total_frames,occlusion_pct
sub01_angles,108,2298,4.7
sub02_angles,43,2378,1.8
sub03_angles,299,5379,5.6
sub04_angles,765,5492,13.9
sub05_angles,1,1949,0.1
sub06_angles,32,2056,1.6
sub07_angles,27,2021,1.3
sub08_angles,16,2040,0.8
sub09_angles,80,2224,3.6
sub10_angles,29,1978,1.5
sub11_angles,0,2781,0.0
sub12_angles,20,2134,0.9
sub13_angles,375,2136,17.6
sub14_angles,77,1962,3.9
sub15_angles,520,2207,23.6
sub16_angles,64,2416,2.6
sub17_angles,68,6227,1.1
sub18_angles,31,1801,1.7
sub19_angles,0,3046,0.0

TOTAL,2555,52525,4.9
