frame,time_s,raw_elbow,true_elbow,raw_shFlex,true_shFlex,raw_shAbd,true_shAbd,q_sho_x,q_sho_y,q_sho_z,q_sho_w,occluded
0,0.000,73.934,85.059,166.393,32.375,173.758,19.535,0.999806,0.019254,0.003919,-0.001074,0
1,0.033,74.799,86.006,166.232,32.549,174.206,19.146,0.999796,0.019934,0.003047,-0.001103,0
2,0.067,73.527,84.615,166.186,32.600,173.848,19.458,0.999828,0.018410,0.001784,-0.000969,0
3,0.100,74.155,85.301,166.806,31.927,174.305,19.060,0.999808,0.019074,0.004376,-0.001056,0
4,0.133,73.774,84.885,166.791,31.943,173.753,19.540,0.999788,0.020012,0.004711,-0.001177,0
5,0.167,73.337,84.406,166.376,32.393,174.265,19.095,0.999806,0.019185,0.004253,-0.001027,0
6,0.200,73.365,84.436,166.211,32.573,173.903,19.410,0.999839,0.016528,0.006943,-0.000889,0
7,0.233,72.704,83.714,166.400,32.368,173.956,19.363,0.999774,0.021226,0.000562,-0.001130,0
8,0.267,73.774,84.884,166.660,32.085,173.335,19.904,0.999831,0.018062,0.003404,-0.000984,0
9,0.300,74.302,85.463,166.489,32.271,173.774,19.522,0.999724,0.023463,-0.000466,-0.001173,0
10,0.333,73.647,84.745,166.035,32.763,174.158,19.188,0.999768,0.021357,0.002477,-0.001088,0
11,0.367,73.203,84.259,165.635,33.198,173.917,19.398,0.999683,0.025098,-0.001570,-0.001319,0
12,0.400,71.779,82.701,165.423,33.428,173.905,19.408,0.999746,0.022466,-0.001321,-0.001134,0
13,0.433,73.787,84.899,165.904,32.906,173.679,19.605,0.999768,0.021441,0.001952,-0.001072,0
14,0.467,74.577,85.764,165.536,33.305,173.566,19.703,0.999740,0.022719,0.001295,-0.001160,0
15,0.500,74.228,85.381,165.345,33.512,173.635,19.643,0.999750,0.022282,0.001455,-0.001129,0
16,0.533,73.923,85.047,165.219,33.649,173.535,19.730,0.999727,0.023273,-0.001672,-0.001094,0
17,0.567,75.190,86.434,165.764,33.057,173.481,19.777,0.999701,0.024376,-0.001812,-0.001122,0
18,0.600,75.081,86.315,165.684,33.144,173.115,20.096,0.999662,0.025705,-0.003582,-0.001168,0
19,0.633,74.026,85.160,165.755,33.067,173.533,19.732,0.999758,0.021904,0.001861,-0.001098,0
20,0.667,74.507,85.687,165.130,33.746,173.371,19.873,0.999755,0.022110,0.000208,-0.001060,0
21,0.700,74.119,85.262,164.518,34.410,173.497,19.763,0.999792,0.020092,0.003220,-0.001001,0
22,0.733,75.048,86.279,165.451,33.397,173.170,20.048,0.999811,0.019213,0.002925,-0.000919,0
23,0.767,76.168,87.504,166.413,32.353,173.160,20.056,0.999814,0.018791,0.004190,-0.000866,0
24,0.800,73.487,84.571,165.689,33.139,173.299,19.935,0.999837,0.017151,0.005547,-0.000827,0
25,0.833,74.875,86.089,165.944,32.862,173.519,19.744,0.999778,0.020762,0.003477,-0.000971,0
